time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.1490385226802205e-06,-1.5306673348394516e-09,10.002227488352975,6.283184412856723,6.282513965849505,0.0,8.210976711207823e-05,-1.0938083879722578e-07,0.07414860542105142,-2.993001286761935e-05,-0.02246714813901354,0.0,430.20176453910136,428.31255608865024,428.124710662909,428.12218733248227
0.12000000000000001,2.336029517042203e-05,-1.0118103881904538e-07,10.007212241642945,6.283137441825998,6.280828319934763,0.0,0.0007995155180612386,-6.071887347892874e-06,0.0919854498103301,-0.0015416386843844694,-0.033763828156142435,0.0,410.4961946857477,409.55292005929056,410.5324299153322,410.39946846314956
0.18,0.00012695752512758345,-9.234578397417832e-07,10.01617670349261,0.0003627109438735232,6.2799189132135,0.0,0.0027869793345772684,3.864101284210781e-06,0.20665702053136728,0.01529644116994866,0.0035993640950974168,0.0,439.93769724801587,443.07215119596765,441.655374218075,443.03342168422444
0.23999999999999996,0.0003568840410142383,8.822803262076295e-06,10.03047256827097,0.0007453258500795812,6.280362389120128,0.0,0.004841473235796728,0.00037521732747609643,0.2697741731852851,-0.0026138233520649453,0.011213687098475807,0.0,425.155077380257,425.79338644624954,426.8158151010026,425.26029048847397
0.3,0.0007051410119575983,4.8966951106143135e-05,10.051147699421913,0.0015163037146388447,6.282080607459889,0.0,0.006616946303229033,0.001012971595336993,0.4191398926655573,0.02844365321884264,0.04620603882832995,0.0,452.04816600624736,454.81078349735213,451.9731511922053,454.45582918024485
0.36000000000000004,0.0011147616555322892,0.00014913464578064016,10.080500498955239,0.002869098202627818,0.0018427800855009835,0.0,0.006725267884855521,0.002484229184748818,0.5590268856422412,0.016601334241095285,0.05206911786258698,0.0,450.8810256290898,451.24235219341057,451.3512285951283,450.33329032048994
0.4200000000000001,0.0014670052219466002,0.0003637059068676421,10.118092056086263,0.0034547642736688644,0.004279598566069076,0.0,0.004731096751925598,0.00474481582249347,0.6937565147871427,0.0028630559985364156,0.029065640454354735,0.0,450.05696858086844,448.078117415273,451.3271963501301,450.1837051797536
0.48000000000000015,0.0016570099178170221,0.0007186831418806769,10.162568997041136,0.0029353863499919086,0.005720360505911515,0.0,0.0014471650096059398,0.007057970138713026,0.7886116608188003,-0.020273239463691268,0.018918450629870413,0.0,438.9346000946558,438.0253343215561,438.33838314510547,436.41422962765006
0.5400000000000001,0.0016088169212802531,0.001204942390955294,10.215206004424122,0.0019734599052583235,0.006222693190635731,0.0,-0.0031322425033282427,0.00903085672236202,0.9655544765966391,-0.011754643566216715,-0.0022665591141357152,0.0,464.80817461399187,463.10711927585356,463.3742631315386,464.0896053914249
0.6000000000000002,0.0012933778079769458,0.0017830651623869519,10.275860534044911,0.0005357503751222126,0.006772144045460671,0.0,-0.007413216166037633,0.010119626473657918,1.0560527545123728,-0.03627350280971156,0.02068011911963264,0.0,436.4446606254113,438.35478514600413,439.2286855565752,437.22664374644904
0.6600000000000003,0.0006997743899630443,0.0023922752234491135,10.3427018715356,6.281118291428903,0.008462898225121585,0.0,-0.012532164479457632,0.009930804053990985,1.1717076063903278,-0.050547194637736596,0.03574402605092458,0.0,446.1096680591476,447.28287073710135,446.3611647122216,445.28798953519686
0.7200000000000003,-0.0002383253446685451,0.0029344829364863767,10.416246249392342,6.278806395593122,0.011161546452854942,0.0,-0.018994523043992483,0.007880137509384695,1.2794936024301402,-0.026414874541976153,0.05429118743930047,0.0,443.93215714676376,445.3592266880835,443.09002108318936,445.1904995321015
0.7800000000000004,-0.0016164688907772196,0.0033118395831047585,10.495659915956425,6.276884715786078,0.014199270396185959,0.0,-0.027252611584360074,0.0045183150248004,1.3673925573184011,-0.037690304022118794,0.04693673205768361,0.0,438.89983801318664,438.15424014879386,439.23672761377384,438.368667111266
0.8400000000000004,-0.0035825420395421336,0.0034314216445944117,10.582562538291347,6.274510584898319,0.01671915785987199,0.0,-0.03856740122047629,-0.0007886206669151575,1.5289007696608365,-0.041466063384221936,0.037017783752996664,0.0,462.40035545342874,461.5015081942563,462.4966665271586,462.29471218280725
0.9000000000000005,-0.006265805261767021,0.0031868259064017014,10.678166932051006,6.271695329291443,0.019144186521056206,0.0,-0.051118552703872375,-0.007648381529884503,1.6575278864434386,-0.05242588141467273,0.04384816796124356,0.0,451.69692456108913,452.15289716835554,454.49752314618655,453.72418455109045
0.9600000000000005,-0.00980201052720935,0.0024410371735218176,10.783795424679141,6.268968250880706,0.02230644440126639,0.0,-0.06709291002410286,-0.0175402994863784,1.8627624195337775,-0.03841529969121332,0.061645069456027594,0.0,476.18416024182085,477.4311586463282,476.72647124904466,477.92881520692214
1.0200000000000005,-0.014394083547893375,0.001026683333716881,10.902556939812811,6.266238339102369,0.02577615045995607,0.0,-0.08638911063646268,-0.02990744314225703,2.095150431554034,-0.052652273713667284,0.05398016908453988,0.0,486.24005287849883,485.506824784291,487.35445382269745,486.3884863956709
1.0800000000000005,-0.020190363338731605,-0.001176536876586714,11.033893994709258,6.2628277554143885,0.02825598960418052,0.0,-0.1071167199949576,-0.0439031537631642,2.282067746441375,-0.06107635786948369,0.028564067293191372,0.0,475.4243033889565,473.3272268092869,475.0809906210134,474.5711128916492
1.1400000000000006,-0.027284318938773526,-0.004300482307844138,11.17651659490778,6.259971045666248,0.029560983845522415,0.0,-0.12949444627219867,-0.06057341566588492,2.471293550102988,-0.03402185268358239,0.01487046825865276,0.0,477.754087458148,476.6295029350158,475.05159717009275,477.28890991745857
